thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,0,fast,36867,190779211,251520583,612980953,
1,0,slow_a,7870893,2695789788,2246732963,6653022226,
1,0,slow_b,7876128,1190519646,3077696021,4613046486,
1,0,slow_c,7894479,1690790698,12741007241,5113025598,
1,0,slow_d,7903061,4690794488,25280332852,11613031865,
1,0,slow_e,7868817,240790191,520635936,1703023379,
1,0,slow_f,7868317,222045926,713480005,2206799238,
2,1,fast,37495,190781104,525900303,632988629,
2,1,slow_a,7880614,2695793401,4459549962,6673028779,
2,1,slow_b,15275445,1190741396,11789581788,4633066299,
2,1,slow_c,7911627,1690796822,26868936141,5133035287,
2,1,slow_d,8314142,5294477368,52220999195,16024762516,
2,1,slow_e,7874711,240794860,1040240595,1723030095,
2,1,slow_f,7878346,222052518,1285373297,2226827172,
2,0,fast,41114,190780717,525168459,632987221,
2,0,slow_a,7874380,2695792558,2534725630,6673025776,
2,0,slow_b,168685688,1190788641,16891453464,4633067446,
2,0,slow_c,565004435,1690740457,89842432819,5133049866,
2,0,slow_d,400259107,4999595761,66059393778,13640906119,
2,0,slow_e,7875845,240792976,819362478,1723028346,
2,0,slow_f,7882227,222052383,1003034419,2226825411,
